Year	d18O	Filtered d18O
1364	-6.422	-5.124
1365	-6.437	-5.072
1366	-3.856	-4.947
1367	-5.135	-4.835
1368	-3.755	-4.760
1369	-3.786	-4.752
1370	-5.612	-4.798
1371	-3.555	-4.860
1372	-5.306	-4.958
1373	-6.999	-5.021
1374	-4.300	-4.995
1375	-4.175	-4.973
1376	-5.809	-4.988
1377	-3.899	-5.010
1378	-5.044	-5.068
1379	-7.086	-5.105
1380	-4.730	-5.051
1381	-5.161	-4.958
1382	-4.550	-4.872
1383	-4.644	-4.800
1384	-4.143	-4.760
1385	-3.539	-4.786
1386	-5.793	-4.867
1387	-4.518	-4.944
1388	-5.997	-4.993
1389	-6.727	-4.959
1390	-3.267	-4.850
1391	-3.981	-4.797
1392	-4.500	-4.833
1393	-5.189	-4.898
1394	-4.089	-4.980
1395	-5.778	-5.082
1396	-5.602	-5.160
1397	-5.189	-5.199
1398	-5.563	-5.218
1399	-6.077	-5.198
1400	-4.493	-5.142
1401	-4.734	-5.106
1402	-4.824	-5.112
1403	-6.442	-5.108
1404	-3.512	-5.084
1405	-4.490	-5.121
1406	-5.924	-5.212
1407	-6.251	-5.258
1408	-5.327	-5.233
1409	-3.625	-5.219
1410	-6.206	-5.259
1411	-6.179	-5.269
1412	-4.447	-5.229
1413	-4.480	-5.224
1414	-6.603	-5.241
1415	-5.200	-5.209
1416	-4.023	-5.173
1417	-5.734	-5.180
1418	-5.366	-5.184
1419	-6.596	-5.129
1420	-6.175	-4.964
1421	-3.994	-4.721
1422	-2.887	-4.525
1423	-3.918	-4.442
1424	-4.479	-4.425
1425	-4.163	-4.425
1426	-3.939	-4.450
1427	-4.430	-4.508
1428	-5.515	-4.560
1429	-5.022	-4.554
1430	-3.702	-4.520
1431	-4.559	-4.516
1432	-4.677	-4.525
1433	-4.469	-4.528
1434	-4.469	-4.531
1435	-4.907	-4.529
1436	-3.607	-4.533
1437	-4.407	-4.579
1438	-4.415	-4.662
1439	-5.654	-4.739
1440	-5.302	-4.763
1441	-4.571	-4.742
1442	-3.585	-4.744
1443	-5.191	-4.799
1444	-4.411	-4.875
1445	-5.088	-4.962
1446	-5.439	-5.044
1447	-5.918	-5.081
1448	-6.504	-5.031
1449	-3.923	-4.909
1450	-3.593	-4.832
1451	-3.589	-4.873
1452	-5.993	-4.985
1453	-5.931	-5.057
1454	-5.109	-5.058
1455	-5.176	-5.031
1456	-3.491	-5.034
1457	-4.569	-5.124
1458	-6.737	-5.244
1459	-6.784	-5.265
1460	-5.706	-5.158
1461	-4.872	-4.988
1462	-4.107	-4.829
1463	-3.060	-4.752
1464	-3.406	-4.812
1465	-6.227	-4.954
1466	-6.946	-5.019
1467	-5.574	-4.939
1468	-3.657	-4.808
1469	-3.456	-4.752
1470	-4.394	-4.799
1471	-4.816	-4.901
1472	-5.499	-5.006
1473	-6.016	-5.063
1474	-5.665	-5.045
1475	-4.856	-4.976
1476	-5.399	-4.883
1477	-2.819	-4.818
1478	-5.040	-4.835
1479	-5.004	-4.889
1480	-4.158	-4.952
1481	-5.193	-5.049
1482	-5.973	-5.137
1483	-5.541	-5.170
1484	-5.916	-5.144
1485	-2.928	-5.126
1486	-5.840	-5.182
1487	-6.848	-5.219
1488	-3.609	-5.197
1489	-5.529	-5.207
1490	-6.368	-5.211
1491	-4.691	-5.161
1492	-4.233	-5.127
1493	-5.631	-5.138
1494	-4.739	-5.158
1495	-4.250	-5.210
1496	-6.134	-5.300
1497	-5.686	-5.364
1498	-5.387	-5.391
1499	-5.219	-5.415
1500	-5.340	-5.451
1501	-6.388	-5.476
1502	-5.817	-5.448
1503	-5.244	-5.382
1504	-4.955	-5.323
1505	-6.445	-5.256
1506	-4.532	-5.155
1507	-3.838	-5.086
1508	-5.857	-5.075
1509	-4.459	-5.073
1510	-4.461	-5.097
1511	-6.023	-5.147
1512	-4.243	-5.192
1513	-6.879	-5.222
1514	-5.208	-5.192
1515	-4.431	-5.137
1516	-4.740	-5.126
1517	-5.925	-5.133
1518	-5.727	-5.095
1519	-3.680	-5.038
1520	-6.281	-5.002
1521	-4.941	-4.936
1522	-4.630	-4.842
1523	-3.489	-4.792
1524	-5.988	-4.782
1525	-4.180	-4.759
1526	-3.693	-4.761
1527	-6.261	-4.795
1528	-3.206	-4.823
1529	-4.511	-4.905
1530	-5.798	-5.028
1531	-4.783	-5.130
1532	-6.230	-5.206
1533	-6.148	-5.215
1534	-4.889	-5.158
1535	-5.283	-5.086
1536	-3.423	-5.052
1537	-5.542	-5.083
1538	-6.338	-5.102
1539	-4.007	-5.073
1540	-4.184	-5.090
1541	-6.561	-5.143
1542	-5.340	-5.143
1543	-4.867	-5.103
1544	-5.983	-5.047
1545	-4.679	-4.956
1546	-4.129	-4.875
1547	-4.258	-4.853
1548	-5.636	-4.860
1549	-4.558	-4.851
1550	-4.300	-4.851
1551	-5.103	-4.880
1552	-5.861	-4.887
1553	-3.602	-4.871
1554	-4.507	-4.905
1555	-6.606	-4.949
1556	-5.627	-4.902
1557	-3.988	-4.797
1558	-5.083	-4.705
1559	-4.315	-4.621
1560	-3.867	-4.561
1561	-3.801	-4.563
1562	-5.268	-4.604
1563	-4.678	-4.629
1564	-3.543	-4.664
1565	-5.989	-4.721
1566	-4.254	-4.756
1567	-4.109	-4.801
1568	-5.958	-4.867
1569	-4.404	-4.907
1570	-3.928	-4.972
1571	-4.538	-5.116
1572	-7.215	-5.266
1573	-5.933	-5.317
1574	-4.806	-5.302
1575	-5.358	-5.293
1576	-3.938	-5.330
1577	-6.457	-5.407
1578	-6.022	-5.453
1579	-4.626	-5.465
1580	-6.395	-5.482
1581	-6.816	-5.440
1582	-4.460	-5.328
1583	-4.293	-5.248
1584	-5.898	-5.221
1585	-4.722	-5.197
1586	-4.560	-5.195
1587	-6.121	-5.214
1588	-4.959	-5.209
1589	-4.683	-5.208
1590	-5.948	-5.221
1591	-4.082	-5.239
1592	-5.813	-5.285
1593	-6.505	-5.302
1594	-5.590	-5.237
1595	-4.556	-5.139
1596	-4.429	-5.078
1597	-4.556	-5.076
1598	-6.196	-5.089
1599	-4.470	-5.075
1600	-5.325	-5.057
1601	-4.117	-5.065
1602	-5.379	-5.106
1603	-6.304	-5.128
1604	-6.093	-5.059
1605	-3.882	-4.934
1606	-4.521	-4.844
1607	-4.634	-4.801
1608	-5.974	-4.743
1609	-3.488	-4.658
1610	-3.934	-4.617
1611	-5.507	-4.617
1612	-3.845	-4.609
1613	-3.984	-4.634
1614	-5.956	-4.678
1615	-3.916	-4.694
1616	-4.223	-4.730
1617	-5.711	-4.787
1618	-4.461	-4.820
1619	-6.137	-4.814
1620	-3.740	-4.777
1621	-4.324	-4.770
1622	-6.216	-4.775
1623	-3.482	-4.751
1624	-4.609	-4.758
1625	-4.796	-4.805
1626	-4.004	-4.878
1627	-5.141	-4.991
1628	-6.765	-5.076
1629	-4.740	-5.081
1630	-5.138	-5.059
1631	-6.051	-5.016
1632	-3.481	-4.955
1633	-3.739	-4.974
1634	-6.192	-5.063
1635	-5.872	-5.108
1636	-5.874	-5.066
1637	-5.405	-4.952
1638	-2.759	-4.848
1639	-4.827	-4.838
1640	-5.931	-4.853
1641	-4.337	-4.828
1642	-4.430	-4.809
1643	-5.267	-4.810
1644	-3.564	-4.829
1645	-3.642	-4.933
1646	-5.697	-5.118
1647	-7.101	-5.261
1648	-5.787	-5.285
1649	-3.691	-5.276
1650	-5.791	-5.323
1651	-6.020	-5.370
1652	-3.748	-5.415
1653	-6.234	-5.509
1654	-7.113	-5.569
1655	-6.767	-5.502
1656	-4.061	-5.366
1657	-4.000	-5.296
1658	-6.280	-5.299
1659	-6.378	-5.257
1660	-5.102	-5.135
1661	-3.325	-5.029
1662	-5.030	-5.009
1663	-4.097	-5.055
1664	-6.529	-5.113
1665	-5.983	-5.102
1666	-4.251	-5.031
1667	-5.378	-4.966
1668	-5.332	-4.890
1669	-3.810	-4.805
1670	-4.202	-4.774
1671	-4.023	-4.817
1672	-5.156	-4.907
1673	-5.350	-4.996
1674	-4.757	-5.068
1675	-6.446	-5.114
1676	-6.056	-5.077
1677	-4.020	-4.981
1678	-4.439	-4.921
1679	-4.798	-4.912
1680	-3.732	-4.951
1681	-5.561	-5.041
1682	-6.680	-5.096
1683	-5.371	-5.051
1684	-4.784	-4.954
1685	-4.140	-4.876
1686	-3.364	-4.877
1687	-5.479	-4.960
1688	-6.537	-5.016
1689	-3.972	-5.009
1690	-4.568	-5.027
1691	-5.866	-5.075
1692	-6.363	-5.062
1693	-4.504	-4.975
1694	-3.920	-4.905
1695	-5.608	-4.877
1696	-5.081	-4.831
1697	-3.419	-4.788
1698	-5.665	-4.786
1699	-5.564	-4.753
1700	-4.112	-4.672
1701	-3.876	-4.618
1702	-3.471	-4.644
1703	-3.688	-4.775
1704	-6.014	-4.963
1705	-6.412	-5.092
1706	-5.086	-5.131
1707	-4.692	-5.150
1708	-4.961	-5.198
1709	-6.056	-5.250
1710	-4.440	-5.289
1711	-6.546	-5.320
1712	-6.029	-5.292
1713	-3.871	-5.230
1714	-5.472	-5.211
1715	-5.828	-5.198
1716	-4.103	-5.173
1717	-4.900	-5.194
1718	-6.113	-5.234
