site,Site.detail,sample,d13C,height
MS3,MS3-Talat n' Yissi,M251-360.1,-0.1,357.03
MS3,MS3-Talat n' Yissi,M251-363.3,-0.12,360.23
MS3,MS3-Talat n' Yissi,M251-364.5,-0.24,361.43
MS3,MS3-Talat n' Yissi,M251-369.0,2.47,365.93
MS3,MS3-Talat n' Yissi,M251-370.6,0.91,367.53
MS3,MS3-Talat n' Yissi,M251-371.1,1.39,368.03
MS3,MS3-Talat n' Yissi,M251-371.6,1.42,368.53
MS3,MS3-Talat n' Yissi,M251-372.8,1.71,369.73
MS3,MS3-Talat n' Yissi,M251-377.6,1.22,374.53
MS3,MS3-Talat n' Yissi,M251-378.0,0.59,374.93
MS3,MS3-Talat n' Yissi,M251-378.7,0.94,375.63
MS3,MS3-Talat n' Yissi,M251-381.0,1.16,377.93
MS3,MS3-Talat n' Yissi,M251-382.3,0.29,379.23
MS3,MS3-Talat n' Yissi,M251-384.7,1.74,381.63
MS3,MS3-Talat n' Yissi,M251-388.3,1.92,385.23
MS3,MS3-Talat n' Yissi,M251-389.5,1.56,386.43
MS3,MS3-Talat n' Yissi,M251-390.1,-0.14,387.03
MS3,MS3-Talat n' Yissi,M251-393.4,-0.52,390.33
MS3,MS3-Talat n' Yissi,M251-394.4,-0.3,391.33
MS3,MS3-Talat n' Yissi,M251-394.9,-0.84,391.83
MS3,MS3-Talat n' Yissi,M251-395.6,-0.48,392.53
MS3,MS3-Talat n' Yissi,M251-399.6,0.83,396.53
MS3,MS3-Talat n' Yissi,M251-400.0,0.75,396.93
MS3,MS3-Talat n' Yissi,M251-400.7,0.5,397.63
MS3,MS3-Talat n' Yissi,M251-401.4,0.53,398.33
MS3,MS3-Talat n' Yissi,M251-402.3,0.72,399.23
MS3,MS3-Talat n' Yissi,M251-403.2,0.49,400.13
MS3,MS3-Talat n' Yissi,M251-403.7,0.27,400.63
MS3,MS3-Talat n' Yissi,M251-404.5,0.21,401.43
MS3,MS3-Talat n' Yissi,M251-405.4,0.21,402.33
MS3,MS3-Talat n' Yissi,M251-406.8,0.47,403.73
MS3,MS3-Talat n' Yissi,M251-407.8,0.18,404.73
MS3,MS3-Talat n' Yissi,M251-408.9,-0.14,405.83
MS3,MS3-Talat n' Yissi,M251-410.4,-0.36,407.33
MS3,MS3-Talat n' Yissi,M251-411.0,-0.21,407.93
MS3,MS3-Talat n' Yissi,M251-412.2,-0.01,409.13
MS3,MS3-Talat n' Yissi,M251-413.7,-0.03,410.63
MS3,MS3-Talat n' Yissi,M251-415.5,-0.17,412.43
MS3,MS3-Talat n' Yissi,M251-417.7,-0.14,414.63
MS3,MS3-Talat n' Yissi,M251-418.8,-0.1,415.73
MS3,MS3-Talat n' Yissi,M251-420.0,-0.05,416.93
MS3,MS3-Talat n' Yissi,M251-420.8,-0.26,417.73
MS3,MS3-Talat n' Yissi,M251-421.3,0.06,418.23
MS3,MS3-Talat n' Yissi,M251-423.0,-0.18,419.93
MS3,MS3-Talat n' Yissi,M251-423.7,-0.19,420.63
MS3,MS3-Talat n' Yissi,M251-424.4,-0.07,421.33
MS3,MS3-Talat n' Yissi,M251-425.3,-0.34,422.23
MS3,MS3-Talat n' Yissi,M251-426.1,-0.2,423.03
MS3,MS3-Talat n' Yissi,M251-427.0,-0.04,423.93
MS3,MS3-Talat n' Yissi,M251-427.8,-0.32,424.73
MS3,MS3-Talat n' Yissi,M251-428.7,-0.38,425.63
MS3,MS3-Talat n' Yissi,M251-430.1,-0.24,427.03
MS3,MS3-Talat n' Yissi,M251-434.9,-0.07,431.83
MS3,MS3-Talat n' Yissi,M251-436.5,0.01,433.43
MS3,MS3-Talat n' Yissi,M251-438.1,-0.5,435.03
MS3,MS3-Talat n' Yissi,M251-438.8,-0.67,435.73
MS3,MS3-Talat n' Yissi,M251-445.5,-0.27,442.43
MS3,MS3-Talat n' Yissi,M251-446.3,-0.41,443.23
MS3,MS3-Talat n' Yissi,M251-458.2,-0.39,455.13
MS3,MS3-Talat n' Yissi,M251-459.0,-0.38,455.93
MS3,MS3-Talat n' Yissi,M251-459.8,-0.35,456.73
MS3,MS3-Talat n' Yissi,M251-460.7,-0.55,457.63
MS3,MS3-Talat n' Yissi,M251-461.7,-0.26,458.63
MS3,MS3-Talat n' Yissi,M251-462.4,-0.46,459.33
MS3,MS3-Talat n' Yissi,M251-463.2,-0.22,460.13
MS3,MS3-Talat n' Yissi,M251-464.2,-0.32,461.13
MS3,MS3-Talat n' Yissi,M251-465.3,-0.21,462.23
MS3,MS3-Talat n' Yissi,M251-466.0,-0.13,462.93
MS3,MS3-Talat n' Yissi,M251-466.9,-0.14,463.83
MS3,MS3-Talat n' Yissi,M251-467.8,-0.25,464.73
MS3,MS3-Talat n' Yissi,M251-468.7,-0.31,465.63
MS3,MS3-Talat n' Yissi,M251-469.2,-0.26,466.13
MS3,MS3-Talat n' Yissi,M251-469.7,-0.28,466.63
MS3,MS3-Talat n' Yissi,M251-470.6,-0.44,467.53
MS3,MS3-Talat n' Yissi,M251-472.1,-0.14,469.03
MS3,MS3-Talat n' Yissi,M251-472.7,0.31,469.63
MS3,MS3-Talat n' Yissi,M251-474.9,-0.51,471.83
MS3,MS3-Talat n' Yissi,M251-475.9,-0.37,472.83
MS3,MS3-Talat n' Yissi,M251-476.4,-0.25,473.33
MS3,MS3-Talat n' Yissi,M251-477.2,-0.55,474.13
MS3,MS3-Talat n' Yissi,M251-477.7,-0.13,474.63
MS3,MS3-Talat n' Yissi,M251-478.5,-0.41,475.43
MS3,MS3-Talat n' Yissi,M251-481.4,-0.2,478.33
MS3,MS3-Talat n' Yissi,M251-481.8,-0.33,478.73
MS3,MS3-Talat n' Yissi,M251-482.7,-0.36,479.63
MS3,MS3-Talat n' Yissi,M251-484.9,-0.27,481.83
MS3,MS3-Talat n' Yissi,M251-485.7,-0.28,482.63
MS3,MS3-Talat n' Yissi,M251-486.4,-0.16,483.33
MS3,MS3-Talat n' Yissi,M251-487.1,-0.32,484.03
MS3,MS3-Talat n' Yissi,M251-487.7,-0.32,484.63
MS3,MS3-Talat n' Yissi,M251-488.3,-0.12,485.23
MS3,MS3-Talat n' Yissi,M251-488.8,-0.4,485.73
MS3,MS3-Talat n' Yissi,M251-490.3,-0.7,487.23
MS3,MS3-Talat n' Yissi,M251-490.6,-0.78,487.53
MS3,MS3-Talat n' Yissi,M251-492.0,-0.4,488.93
MS3,MS3-Talat n' Yissi,M251-492.3,-0.86,489.23
MS3,MS3-Talat n' Yissi,M251-492.8,-0.69,489.73
MS3,MS3-Talat n' Yissi,M251-493.3,-0.48,490.23
MS3,MS3-Talat n' Yissi,M251-493.8,-0.82,490.73
MS3,MS3-Talat n' Yissi,M251-495.3,-0.5,492.23
MS3,MS3-Talat n' Yissi,M251-496.3,-0.49,493.23
MS3,MS3-Talat n' Yissi,M251-497.2,-0.79,494.13
MS3,MS3-Talat n' Yissi,M251-498.8,-0.33,495.73
MS3,MS3-Talat n' Yissi,M251-501.7,-0.36,498.63
MS3,MS3-Talat n' Yissi,M251-503.6,-0.39,500.53
MS3,MS3-Talat n' Yissi,M251-504.4,-0.36,501.33
MS3,MS3-Talat n' Yissi,M251-505.4,-0.3,502.33
MS3,MS3-Talat n' Yissi,M251-506.1,-0.1,503.03
MS3,MS3-Talat n' Yissi,M251-506.8,-0.1,503.73
MS3,MS3-Talat n' Yissi,M251-507.7,-0.26,504.63
MS3,MS3-Talat n' Yissi,M251-509.4,-0.21,506.33
MS3,MS3-Talat n' Yissi,M251-509.8,-0.4,506.73
MS3,MS3-Talat n' Yissi,M251-510.3,-0.55,507.23
MS3,MS3-Talat n' Yissi,M251-510.8,-0.36,507.73
MS3,MS3-Talat n' Yissi,M251-511.5,-0.46,508.43
MS3,MS3-Talat n' Yissi,M251-512.8,-0.56,509.73
MS3,MS3-Talat n' Yissi,M251-513.5,-0.58,510.43
MS3,MS3-Talat n' Yissi,M251-514.0,-0.7,510.93
MS3,MS3-Talat n' Yissi,M251-514.8,-0.51,511.73
MS3,MS3-Talat n' Yissi,M251-515.3,-0.3,512.23
MS3,MS3-Talat n' Yissi,M251-515.9,-0.56,512.83
MS3,MS3-Talat n' Yissi,M251-516.5,-0.51,513.43
MS3,MS3-Talat n' Yissi,M251-517.3,-0.36,514.23
MS3,MS3-Talat n' Yissi,M251-517.9,-0.38,514.83
MS3,MS3-Talat n' Yissi,M251-518.5,-0.61,515.43
MS3,MS3-Talat n' Yissi,M251-519.5,-0.56,516.43
MS3,MS3-Talat n' Yissi,M251-520.2,-0.49,517.13
MS3,MS3-Talat n' Yissi,M251-521.0,-0.63,517.93
MS3,MS3-Talat n' Yissi,M251-521.8,-0.36,518.73
MS3,MS3-Talat n' Yissi,M251-522.3,-0.5,519.23
MS3,MS3-Talat n' Yissi,M251-523.1,0.08,520.03
MS3,MS3-Talat n' Yissi,M251-523.8,-0.5,520.73
MS3,MS3-Talat n' Yissi,M251-524.5,-0.58,521.43
MS3,MS3-Talat n' Yissi,M251-525.3,-0.62,522.23
MS3,MS3-Talat n' Yissi,M251-526.0,-0.61,522.93
MS3,MS3-Talat n' Yissi,M251-526.5,-0.58,523.43
MS3,MS3-Talat n' Yissi,M251-527.1,-0.58,524.03
MS3,MS3-Talat n' Yissi,M251-527.7,-0.54,524.63
MS3,MS3-Talat n' Yissi,M251-528.4,-0.61,525.33
MS3,MS3-Talat n' Yissi,M251-529.0,-0.67,525.93
MS3,MS3-Talat n' Yissi,M251-529.7,-0.87,526.63
MS3,MS3-Talat n' Yissi,M251-530.3,-0.74,527.23
MS3,MS3-Talat n' Yissi,M251-531.0,-0.25,527.93
MS3,MS3-Talat n' Yissi,M251-531.7,-0.4,528.63
MS3,MS3-Talat n' Yissi,M251-532.3,-0.31,529.23
MS3,MS3-Talat n' Yissi,M251-578.7,-0.4,575.63
MS3,MS3-Talat n' Yissi,M251-579.4,-0.35,576.33
MS3,MS3-Talat n' Yissi,M251-580.4,-0.34,577.33
MS3,MS3-Talat n' Yissi,M251-583.0,-0.22,579.93
MS3,MS3-Talat n' Yissi,M251-585.4,-0.67,582.33
MS3,MS3-Talat n' Yissi,M251-586.2,0.05,583.13
MS3,MS3-Talat n' Yissi,M251-586.4,-0.52,583.33
MS3,MS3-Talat n' Yissi,M251-587.0,-0.63,583.93
MS3,MS3-Talat n' Yissi,M251-591.4,-0.62,588.33
MS3,MS3-Talat n' Yissi,M251-591.8,-0.51,588.73
MS3,MS3-Talat n' Yissi,M251-592.8,-0.29,589.73
MS3,MS3-Talat n' Yissi,M251-600.3,-0.9,597.23
MS3,MS3-Talat n' Yissi,M251-603.1,-0.98,600.03
MS3,MS3-Talat n' Yissi,M251-605.0,-0.81,601.93
MS3,MS3-Talat n' Yissi,M251-606.6,-0.42,603.53
MS3,MS3-Talat n' Yissi,M251-609.6,-0.85,606.53
MS3,MS3-Talat n' Yissi,M251-611.7,-0.32,608.63
MS3,MS3-Talat n' Yissi,M251-612.8,-0.31,609.73
MS3,MS3-Talat n' Yissi,M251-613.7,-0.74,610.63
MS3,MS3-Talat n' Yissi,M251-615.0,-0.61,611.93
MS3,MS3-Talat n' Yissi,M251-616.4,-0.75,613.33
MS3,MS3-Talat n' Yissi,M251-617.5,-0.08,614.43
MS3,MS3-Talat n' Yissi,M251-620.5,-0.41,617.43
MS3,MS3-Talat n' Yissi,M251-621.1,-0.28,618.03
MS3,MS3-Talat n' Yissi,M251-622.7,-0.8,619.63
MS3,MS3-Talat n' Yissi,M251-633.8,-0.9,630.73
MS3,MS3-Talat n' Yissi,M251-637.3,-0.19,634.23
MS3,MS3-Talat n' Yissi,M251-638.0,-0.21,634.93
MS3,MS3-Talat n' Yissi,M251-638.4,-0.2,635.33
MS3,MS3-Talat n' Yissi,M251-641.8,-1.05,638.73
MS3,MS3-Talat n' Yissi,M251-642.4,-0.9,639.33
MS3,MS3-Talat n' Yissi,M251-643.0,-0.55,639.93
MS3,MS3-Talat n' Yissi,M251-646.2,-0.59,643.13
MS3,MS3-Talat n' Yissi,M251-647.0,-0.94,643.93
MS3,MS3-Talat n' Yissi,M251-648.6,-0.35,645.53
MS3,MS3-Talat n' Yissi,M251-653.1,-0.82,650.03
MS3,MS3-Talat n' Yissi,M251-656.4,0.02,653.33
MS3,MS3-Talat n' Yissi,M251-662.0,-1.11,658.93
MS3,MS3-Talat n' Yissi,M251-663.3,-1.28,660.23
MS3,MS3-Talat n' Yissi,M251-664.4,-1.13,661.33
MS3,MS3-Talat n' Yissi,M251-670.5,-0.42,667.43
MS3,MS3-Talat n' Yissi,M251-671.4,-0.81,668.33
MS3,MS3-Talat n' Yissi,M251-672.1,-0.15,669.03
MS3,MS3-Talat n' Yissi,M251-689.8,-0.04,686.73
MS3,MS3-Talat n' Yissi,M251-690.6,-0.05,687.53
MS3,MS3-Talat n' Yissi,M251-695.0,-0.65,691.93
MS3,MS3-Talat n' Yissi,M251-698.3,-0.73,695.23
MS3,MS3-Talat n' Yissi,M251-702.1,-0.8,699.03
MS3,MS3-Talat n' Yissi,M251-703.0,0.03,699.93
MS3,MS3-Talat n' Yissi,M251-704.3,-0.48,701.23
MS3,MS3-Talat n' Yissi,M251-704.9,-0.56,701.83
MS3,MS3-Talat n' Yissi,M251-705.4,-1.16,702.33
MS3,MS3-Talat n' Yissi,M251-727.6,-0.56,724.53
MS3,MS3-Talat n' Yissi,M251-746.0,-0.86,742.93
MS3,MS3-Talat n' Yissi,M251-747.9,-1.28,744.83
MS3,MS3-Talat n' Yissi,M251-749.1,-1.16,746.03
MS3,MS3-Talat n' Yissi,M251-751.0,-0.92,747.93
MS3,MS3-Talat n' Yissi,M251-751.7,-0.37,748.63
MS3,MS3-Talat n' Yissi,M251-752.1,-0.5,749.03
MS3,MS3-Talat n' Yissi,M251-805.7,-1.2,802.63
MS3,MS3-Talat n' Yissi,M251-830.5,-1.19,827.43
MS3,MS3-Talat n' Yissi,M251-831.5,-0.34,828.43
MS3,MS3-Talat n' Yissi,M251-834.5,0.42,831.43
MS3,MS3-Talat n' Yissi,M251-838.0,1.14,834.93
MS3,MS3-Talat n' Yissi,M251-839.0,0.72,835.93
MS3,MS3-Talat n' Yissi,M251-840.0,0.87,836.93
MS3,MS3-Talat n' Yissi,M251-841.3,1.09,838.23
MS3,MS3-Talat n' Yissi,M251-842.0,0.9,838.93
MS3,MS3-Talat n' Yissi,M251-843.3,1.09,840.23
MS3,MS3-Talat n' Yissi,M251-844.5,1.09,841.43
MS3,MS3-Talat n' Yissi,M251-845.5,0.77,842.43
MS3,MS3-Talat n' Yissi,M251-846.5,0.93,843.43
MS3,MS3-Talat n' Yissi,M251-853.0,0.99,849.93
MS3,MS3-Talat n' Yissi,M251-854.0,0.88,850.93
MS3,MS3-Talat n' Yissi,M251-859.0,1.03,855.93
MS3,MS3-Talat n' Yissi,M251-861.0,1.04,857.93
MS3,MS3-Talat n' Yissi,M251-862.0,1.15,858.93
MS3,MS3-Talat n' Yissi,M251-863.0,0.85,859.93
MS3,MS3-Talat n' Yissi,M251-864.0,1,860.93
MS3,MS3-Talat n' Yissi,M251-865.0,1.22,861.93
MS3,MS3-Talat n' Yissi,M251-867.0,1.4,863.93
MS3,MS3-Talat n' Yissi,M251-868.0,1.26,864.93
MS3,MS3-Talat n' Yissi,M251-869.0,1.38,865.93
MS3,MS3-Talat n' Yissi,M251-870.0,1.26,866.93
MS3,MS3-Talat n' Yissi,M251-871.0,1.5,867.93
MS3,MS3-Talat n' Yissi,M251-872.0,1.53,868.93
MS3,MS3-Talat n' Yissi,M251-874.0,1.47,870.93
MS3,MS3-Talat n' Yissi,M251-875.0,1.51,871.93
MS3,MS3-Talat n' Yissi,M251-876.0,1.39,872.93
MS3,MS3-Talat n' Yissi,M251-877.0,1.57,873.93
MS3,MS3-Talat n' Yissi,M251-878.0,1.29,874.93
MS3,MS3-Talat n' Yissi,M251-879.0,1.06,875.93
MS3,MS3-Talat n' Yissi,M251-880.0,1.69,876.93
MS3,MS3-Talat n' Yissi,M251-881.0,1.29,877.93
MS3,MS3-Talat n' Yissi,M251-882.0,1.78,878.93
MS3,MS3-Talat n' Yissi,M251-883.0,1.53,879.93
MS3,MS3-Talat n' Yissi,M251-884.0,1.68,880.93
MS3,MS3-Talat n' Yissi,M251-886.0,1.42,882.93
MS3,MS3-Talat n' Yissi,M251-887.0,1.53,883.93
MS3,MS3-Talat n' Yissi,M251-888.0,1.6,884.93
MS3,MS3-Talat n' Yissi,M251-889.0,1.4,885.93
MS3,MS3-Talat n' Yissi,M251-890.0,1.42,886.93
MS3,MS3-Talat n' Yissi,M251-894.0,1.03,890.93
MS3,MS3-Talat n' Yissi,M251-896.0,1.48,892.93
MS3,MS3-Talat n' Yissi,M251-897.5,1.79,894.43
MS3,MS3-Talat n' Yissi,M251-898.5,1.28,895.43
MS3,MS3-Talat n' Yissi,M251-900.0,1.54,896.93
MS3,MS3-Talat n' Yissi,M251-901.0,1.46,897.93
MS3,MS3-Talat n' Yissi,M251-902.0,1.64,898.93
MS3,MS3-Talat n' Yissi,M251-903.0,1.4,899.93
MS3,MS3-Talat n' Yissi,M251-904.0,1.3,900.93
MS3,MS3-Talat n' Yissi,M251-905.0,1.16,901.93
MS3,MS3-Talat n' Yissi,M251-906.0,1.4,902.93
MS3,MS3-Talat n' Yissi,M251-907.5,1.75,904.43
MS3,MS3-Talat n' Yissi,M251-908.5,1.16,905.43
MS3,MS3-Talat n' Yissi,M251-909.5,1.76,906.43
MS3,MS3-Talat n' Yissi,M251-910.5,1.67,907.43
MS3,MS3-Talat n' Yissi,M251-911.5,1.45,908.43
MS3,MS3-Talat n' Yissi,M251-912.5,1.23,909.43
MS3,MS3-Talat n' Yissi,M251-913.5,1.15,910.43
MS3,MS3-Talat n' Yissi,M251-921.5,1.06,918.43
MS16,MS16-Sidi M'Sal,M301-01.3,-3.12,-86.7
MS16,MS16-Sidi M'Sal,M301-02.5,-3.21,-85.5
MS16,MS16-Sidi M'Sal,M301-03.5,-3.2,-84.5
MS16,MS16-Sidi M'Sal,M301-03.8,-3.19,-84.2
MS16,MS16-Sidi M'Sal,M301-04.3,-3.3,-83.7
MS16,MS16-Sidi M'Sal,M301-05.0,-3.08,-83
MS16,MS16-Sidi M'Sal,M301-06.2,-3.09,-81.8
MS16,MS16-Sidi M'Sal,M301-06.6,-2.67,-81.4
MS16,MS16-Sidi M'Sal,M301-07.8,-2.57,-80.2
MS16,MS16-Sidi M'Sal,M301-08.5,-2.91,-79.5
MS16,MS16-Sidi M'Sal,M301-09.2,-2.55,-78.8
MS16,MS16-Sidi M'Sal,M301-09.8,-3.01,-78.2
MS16,MS16-Sidi M'Sal,M301-11.0,-3.25,-77
MS16,MS16-Sidi M'Sal,M301-11.5,-2.75,-76.5
MS16,MS16-Sidi M'Sal,M301-11.8,-2.78,-76.2
MS16,MS16-Sidi M'Sal,M301-20.4,-3.08,-67.6
MS16,MS16-Sidi M'Sal,M301-21.3,-3.13,-66.7
MS16,MS16-Sidi M'Sal,M301-22.1,-2.84,-65.9
MS16,MS16-Sidi M'Sal,M301-23.0,-3.02,-65
MS16,MS16-Sidi M'Sal,M301-24.5,-2.66,-63.5
MS16,MS16-Sidi M'Sal,M301-25.9,-2.64,-62.1
MS16,MS16-Sidi M'Sal,M301-26.9,-2.82,-61.1
MS16,MS16-Sidi M'Sal,M301-28.0,-2.33,-60
MS16,MS16-Sidi M'Sal,M301-29.0,-2.63,-59
MS16,MS16-Sidi M'Sal,M301-30.0,-2.74,-58
MS16,MS16-Sidi M'Sal,M301-30.9,-2.48,-57.1
MS16,MS16-Sidi M'Sal,M301-31.7,-2.63,-56.3
MS16,MS16-Sidi M'Sal,M301-32.4,-2.63,-55.6
MS16,MS16-Sidi M'Sal,M301-33.4,-2.61,-54.6
MS16,MS16-Sidi M'Sal,M301-35.0,-2,-53
MS16,MS16-Sidi M'Sal,M301-35.4,-2.77,-52.6
MS16,MS16-Sidi M'Sal,M301-35.9,-2.58,-52.1
MS16,MS16-Sidi M'Sal,M301-36.3,-3.04,-51.7
MS16,MS16-Sidi M'Sal,M301-36.9,-3.27,-51.1
MS16,MS16-Sidi M'Sal,M301-37.6,-3.24,-50.4
MS16,MS16-Sidi M'Sal,M301-38.0,-3.65,-50
MS16,MS16-Sidi M'Sal,M301-38.6,-3.65,-49.4
MS16,MS16-Sidi M'Sal,M301-39.5,-4.56,-48.5
MS16,MS16-Sidi M'Sal,M301-40.1,-4.07,-47.9
MS16,MS16-Sidi M'Sal,M301-40.3,-3.88,-47.7
MS16,MS16-Sidi M'Sal,M301-41.1,-3.18,-46.9
MS16,MS16-Sidi M'Sal,M301-41.3,-3.45,-46.7
MS16,MS16-Sidi M'Sal,M301-41.5,-3.79,-46.5
MS16,MS16-Sidi M'Sal,M301-41.9,-4.12,-46.1
MS16,MS16-Sidi M'Sal,M301-42.9,-4.08,-45.1
MS16,MS16-Sidi M'Sal,M301-43.5,-4.53,-44.5
MS16,MS16-Sidi M'Sal,M301-44.5,-3.46,-43.5
MS16,MS16-Sidi M'Sal,M301-45.3,-4.79,-42.7
MS16,MS16-Sidi M'Sal,M301-47.4,-4.68,-40.6
MS16,MS16-Sidi M'Sal,M301-48.5,-5.18,-39.5
MS16,MS16-Sidi M'Sal,M301-49.3,-6.12,-38.7
MS16,MS16-Sidi M'Sal,M301-49.6,-4.71,-38.4
MS16,MS16-Sidi M'Sal,M301-52.6,-4.86,-35.4
MS16,MS16-Sidi M'Sal,M301-52.8,-4.82,-35.2
MS16,MS16-Sidi M'Sal,M301-56.9,-4.31,-31.1
MS16,MS16-Sidi M'Sal,M301-57.2,-4.65,-30.8
MS16,MS16-Sidi M'Sal,M301-57.5,-4.28,-30.5
MS16,MS16-Sidi M'Sal,M301-57.8,-4.78,-30.2
MS16,MS16-Sidi M'Sal,M301-58.4,-4.31,-29.6
MS16,MS16-Sidi M'Sal,M301-59.4,-4.33,-28.6
MS16,MS16-Sidi M'Sal,M301-60.0,-4.55,-28
MS16,MS16-Sidi M'Sal,M301-61.4,-4.88,-26.6
MS16,MS16-Sidi M'Sal,M301-62.2,-4.8,-25.8
MS16,MS16-Sidi M'Sal,M301-62.8,-4.34,-25.2
MS16,MS16-Sidi M'Sal,M301-63.1,-4.35,-24.9
MS16,MS16-Sidi M'Sal,M301-63.8,-5.19,-24.2
MS16,MS16-Sidi M'Sal,M301-65.8,-4.52,-22.2
MS16,MS16-Sidi M'Sal,M301-66.7,-4.6,-21.3
MS16,MS16-Sidi M'Sal,M301-67.1,-4.75,-20.9
MS16,MS16-Sidi M'Sal,M301-68.1,-4.65,-19.9
MS16,MS16-Sidi M'Sal,M301-68.6,-4.29,-19.4
MS16,MS16-Sidi M'Sal,M301-69.3,-5.03,-18.7
MS16,MS16-Sidi M'Sal,M301-70.2,-4.83,-17.8
MS16,MS16-Sidi M'Sal,M301-70.9,-4.74,-17.1
MS16,MS16-Sidi M'Sal,M301-71.2,-4.21,-16.8
MS16,MS16-Sidi M'Sal,M301-71.8,-5.15,-16.2
MS16,MS16-Sidi M'Sal,M301-72.3,-4.36,-15.7
MS16,MS16-Sidi M'Sal,M301-73.9,-4.67,-14.1
MS16,MS16-Sidi M'Sal,M301-74.7,-4.3,-13.3
MS16,MS16-Sidi M'Sal,M301-78.1,-3.69,-9.9
MS16,MS16-Sidi M'Sal,M301-78.3,-3.57,-9.7
MS16,MS16-Sidi M'Sal,M301-85.1,-6.02,-2.9
MS16,MS16-Sidi M'Sal,M301-87.4,-6.13,-0.6
MS16,MS16-Sidi M'Sal,M301-87.5,-5.33,-0.5
MS16,MS16-Sidi M'Sal,M301-88.4,-4.13,0.4
MS16,MS16-Sidi M'Sal,M301-91.6,-4.35,3.6
MS16,MS16-Sidi M'Sal,M301-94.0,-6.59,6
MS16,MS16-Sidi M'Sal,M301-94.2,-4.43,6.2
MS16,MS16-Sidi M'Sal,M301-95.0,-4.44,7
MS16,MS16-Sidi M'Sal,M301-96.2,-4.85,8.2
MS16,MS16-Sidi M'Sal,M301-98.2,-4.33,10.2
MS16,MS16-Sidi M'Sal,M301-105.6,-4.73,17.6
MS16,MS16-Sidi M'Sal,M301-106.1,-4.67,18.1
MS16,MS16-Sidi M'Sal,M301-106.8,-4.81,18.8
MS16,MS16-Sidi M'Sal,M301-107.4,-4.86,19.4
MS16,MS16-Sidi M'Sal,M301-108.1,-5.13,20.1
MS16,MS16-Sidi M'Sal,M301-109.0,-6.46,21
MS16,MS16-Sidi M'Sal,M301-110.2,-4.4,22.2
MS16,MS16-Sidi M'Sal,M301-110.7,-3.99,22.7
MS16,MS16-Sidi M'Sal,M301-111.2,-4.63,23.2
MS16,MS16-Sidi M'Sal,M301-119.3,-4.16,31.3
MS16,MS16-Sidi M'Sal,M301-119.7,-4.36,31.7
MS16,MS16-Sidi M'Sal,M301-123.3,-4.57,35.3
MS16,MS16-Sidi M'Sal,M301-123.8,-3.63,35.8
MS16,MS16-Sidi M'Sal,M301-124.4,-3.8,36.4
MS16,MS16-Sidi M'Sal,M301-126.3,-3.56,38.3
MS16,MS16-Sidi M'Sal,M301-128.5,-3.46,40.5
MS16,MS16-Sidi M'Sal,M301-130.0,-0.22,42
MS16,MS16-Sidi M'Sal,M301-130.8,-1.55,42.8
MS16,MS16-Sidi M'Sal,M301-132.9,-1.09,44.9
MS16,MS16-Sidi M'Sal,M301-133.7,-0.67,45.7
MS16,MS16-Sidi M'Sal,M301-135.7,-1.47,47.7
MS16,MS16-Sidi M'Sal,M301-136.3,-0.96,48.3
MS16,MS16-Sidi M'Sal,M301-136.7,-0.74,48.7
MS16,MS16-Sidi M'Sal,M301-137.1,-0.58,49.1
MS16,MS16-Sidi M'Sal,M301-137.7,-1.53,49.7
MS16,MS16-Sidi M'Sal,M301-139.4,-0.88,51.4
MS16,MS16-Sidi M'Sal,M301-140.1,-1.28,52.1
MS16,MS16-Sidi M'Sal,M301-140.4,-1.58,52.4
MS16,MS16-Sidi M'Sal,M301-140.6,-2.17,52.6
MS16,MS16-Sidi M'Sal,M301-143.2,-2.49,55.2
MS16,MS16-Sidi M'Sal,M301-144.0,-2.82,56
MS16,MS16-Sidi M'Sal,M301-144.4,-2.29,56.4
MS16,MS16-Sidi M'Sal,M301-144.7,-2.47,56.7
MS16,MS16-Sidi M'Sal,M301-145.0,-3.01,57
MS16,MS16-Sidi M'Sal,M301-145.4,-2.64,57.4
MS16,MS16-Sidi M'Sal,M301-147.6,-2.48,59.6
MS16,MS16-Sidi M'Sal,M301-148.0,-2.88,60
MS16,MS16-Sidi M'Sal,M301-148.8,-2.76,60.8
MS16,MS16-Sidi M'Sal,M301-149.3,-3,61.3
MS16,MS16-Sidi M'Sal,M301-149.5,-2.87,61.5
MS16,MS16-Sidi M'Sal,M301-149.8,-2,61.8
MS16,MS16-Sidi M'Sal,M301-151.8,-2.33,63.8
MS16,MS16-Sidi M'Sal,M301-152.3,-2.17,64.3
MS16,MS16-Sidi M'Sal,M301-153.4,-1.58,65.4
MS16,MS16-Sidi M'Sal,M301-153.8,-1.41,65.8
MS16,MS16-Sidi M'Sal,M301-154.2,-1.28,66.2
MS16,MS16-Sidi M'Sal,M301-155.2,-1.89,67.2
MS16,MS16-Sidi M'Sal,M301-155.7,-1.97,67.7
MS16,MS16-Sidi M'Sal,M301-156.0,-1.93,68
MS16,MS16-Sidi M'Sal,M301-155.9,-2.78,67.9
MS16,MS16-Sidi M'Sal,M301-157.2,-2.47,69.2
MS16,MS16-Sidi M'Sal,M301-157.5,-2.55,69.5
MS16,MS16-Sidi M'Sal,M301-159.0,-2.72,71
MS16,MS16-Sidi M'Sal,M301-162.2,-1.32,74.2
MS16,MS16-Sidi M'Sal,M301-162.8,-1.28,74.8
